Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	104	39532	41421	1889			0.49946	0.1971	2.44191										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Whole	32	41421	41511	90						264.64	158.32	224.68	16.21			0.49946	0.1971	0.47044	0.50667
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	105	41511	41881	370			0.47044	0.50667	2.39785										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	106	41901	42090	190			0.47305	0.50176	2.45059										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Whole	33	42090	42150	60						34.09	232.51	332.09	14.43			0.47305	0.50176	0.62488	0.39899
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	107	42150	42290	140			0.62488	0.39899	2.49288										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	108	42310	42460	150			0.59736	0.40342	2.5181										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	109	42480	42590	110			0.56473	0.41171	2.5545										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	110	42610	42710	100			0.52571	0.41458	2.56565										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	111	42730	43010	280			0.48852	0.43076	2.54015										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	112	43030	43240	210			0.4728	0.43771	2.57304										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	113	43320	44789	1469			0.46288	0.4399	2.65322										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	114	44869	47697	2828			0.46191	0.44206	2.63634										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	115	47797	47957	160			0.46228	0.44673	2.63779										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	116	48047	48287	240			0.46331	0.45262	2.63839										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	117	48327	48427	100			0.46016	0.47517	2.58505										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	118	48487	50256	1769			0.46483	0.45059	2.60722										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	34	50256	50296	40							451.35	624.62				0.46483	0.45059		
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	35	50366	50386	20							227.04	227.04						0.32396	0.60277
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Whole	119	50386	50585	200			0.32396	0.60277	2.52069										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	36	50585	50605	20							161.36	191.49				0.32396	0.60277		
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	37	50615	50625	10							100.35	100.35						0.36737	0.57345
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	120	50625	50755	130			0.36737	0.57345	2.3318										
