start_time	end_time	Carton	IFU	Instructions	Phone	Pump Unit	ReservoirUnit	YpsoPod	skin
135.368	135.578	302.9	1600.0	119.9	94.6	1600.0	1600.0	1600.0	1600.0
135.672	135.772	389.5	1600.0	362.6	0.0	1600.0	1600.0	1600.0	1600.0
135.789	135.919	403.9	1600.0	142.8	129.9	1600.0	1600.0	1600.0	1600.0
136.052	136.182	737.9	1600.0	155.2	734.6	1600.0	1600.0	1600.0	1600.0
136.198	136.328	1600.0	325.5	70.0	635.7	1600.0	1600.0	1600.0	575.7
136.349	136.729	1600.0	280.4	0.0	524.1	1600.0	1600.0	1600.0	1600.0
136.752	136.872	491.1	1600.0	0.0	434.7	1600.0	1600.0	1600.0	1600.0
136.89	136.98	522.5	541.7	0.0	458.9	1600.0	1600.0	1600.0	1600.0
137.321	137.571	410.8	581.0	285.4	0.0	1600.0	1600.0	1600.0	1600.0
137.891	138.101	482.6	1600.0	408.7	0.0	1600.0	1600.0	1600.0	1600.0
138.289	138.409	370.0	1600.0	301.2	0.0	1600.0	1600.0	1600.0	1600.0
138.436	138.526	239.8	1600.0	287.7	0.0	1600.0	1600.0	1600.0	1600.0
138.549	138.799	269.7	1600.0	272.5	0.0	1600.0	1600.0	1600.0	79.1
138.866	139.366	283.4	1600.0	282.0	0.0	1600.0	1600.0	1600.0	1600.0
139.519	139.769	286.2	1600.0	290.1	0.0	1600.0	1600.0	1600.0	1600.0
139.807	139.937	290.9	1600.0	323.5	0.0	1600.0	1600.0	1600.0	1600.0
140.09	140.25	303.2	1600.0	310.2	0.0	1600.0	1600.0	1600.0	1600.0
140.265	140.365	284.6	1600.0	293.3	0.0	1600.0	1600.0	1600.0	1600.0
140.39	140.8	285.0	1600.0	317.2	0.0	1600.0	1600.0	1600.0	1600.0
140.936	141.196	326.7	1600.0	321.5	0.0	1600.0	1600.0	1600.0	1600.0
141.236	141.466	320.7	1600.0	334.6	0.0	1600.0	1600.0	1600.0	1600.0
141.486	141.786	344.9	1600.0	321.5	0.0	1600.0	1600.0	1600.0	1600.0
141.804	141.894	344.4	1600.0	337.3	0.0	1600.0	1600.0	1600.0	1600.0
141.989	142.069	324.8	1600.0	321.3	0.0	1600.0	1600.0	1600.0	1600.0
142.085	142.345	252.4	598.4	301.4	0.0	904.8	1600.0	1600.0	1600.0
142.366	142.476	285.0	1600.0	288.4	0.0	887.6	1600.0	1600.0	1600.0
142.514	142.634	342.0	1600.0	320.8	0.0	901.0	1600.0	1600.0	1600.0
142.836	142.996	420.1	1600.0	374.8	0.0	923.8	1600.0	1600.0	1600.0
143.084	143.194	404.6	1600.0	349.0	0.0	1600.0	1600.0	1600.0	1600.0
143.238	143.418	387.4	1600.0	353.1	0.0	1600.0	1600.0	1600.0	1600.0
143.483	144.003	375.4	1600.0	379.2	0.0	1600.0	1600.0	1600.0	1600.0
144.065	144.215	435.3	1600.0	385.4	0.0	1600.0	1600.0	1600.0	1600.0
144.237	144.307	417.1	1600.0	371.3	0.0	1600.0	1600.0	1600.0	1600.0
144.356	144.606	316.3	1600.0	207.1	17.0	1600.0	1600.0	1600.0	1600.0
144.757	144.947	1015.2	491.0	254.6	355.1	1600.0	1600.0	1600.0	1600.0
145.063	145.243	628.5	337.3	0.0	595.7	1600.0	1600.0	1600.0	1600.0
145.284	145.404	489.0	1600.0	0.0	448.9	1600.0	1600.0	1600.0	353.4
145.425	145.695	419.3	1600.0	176.0	356.2	1600.0	1600.0	1600.0	262.4
145.757	145.927	370.5	1600.0	180.0	310.8	1600.0	1600.0	1600.0	1600.0
146.006	146.256	314.6	1600.0	88.1	126.2	1600.0	1600.0	1600.0	1600.0
146.275	146.395	342.7	1600.0	382.4	66.0	1600.0	1600.0	826.0	1600.0
146.801	147.171	563.1	1600.0	464.0	0.0	1600.0	1600.0	663.6	1600.0
147.236	147.336	551.0	1600.0	618.5	22.0	1600.0	1600.0	1600.0	1600.0
147.373	147.483	361.8	1600.0	0.0	234.0	1600.0	1600.0	1600.0	139.5
147.501	147.671	373.8	1600.0	272.9	217.3	1600.0	1600.0	1600.0	120.4
147.732	147.912	516.2	1600.0	156.1	459.8	1600.0	1600.0	1600.0	1600.0
147.935	148.375	499.9	1600.0	0.0	471.8	1600.0	1600.0	1600.0	258.3
148.39	148.48	569.0	1600.0	0.0	611.2	1600.0	1600.0	1600.0	1600.0
148.504	148.864	1600.0	1600.0	0.0	538.6	1600.0	1600.0	1600.0	1600.0
148.885	149.015	1600.0	557.2	0.0	495.9	1600.0	1600.0	1600.0	1600.0
149.031	149.141	594.7	491.0	0.0	539.8	1600.0	1600.0	430.6	1600.0
149.242	149.462	602.7	1600.0	0.0	531.1	1600.0	1600.0	1600.0	402.5
149.472	149.682	529.4	1600.0	0.0	463.7	1600.0	1600.0	1600.0	1600.0
149.701	150.231	439.8	1600.0	0.0	401.6	1600.0	1600.0	310.9	1600.0
150.271	150.381	402.7	1600.0	0.0	371.4	1600.0	1600.0	670.4	1600.0
150.464	150.684	602.8	1600.0	0.0	514.2	1600.0	1600.0	521.7	1600.0
150.704	151.064	549.6	1600.0	0.0	457.9	1600.0	1600.0	544.6	1600.0
151.099	151.499	454.4	1600.0	0.0	362.5	1600.0	1600.0	615.4	1600.0
151.551	151.681	358.6	1600.0	0.0	220.9	1600.0	1600.0	1600.0	1600.0
151.773	151.933	266.9	1600.0	136.3	56.4	1600.0	1600.0	68.0	1600.0
152.052	152.302	383.7	1600.0	361.8	0.0	1600.0	1600.0	147.3	1600.0
152.368	152.468	355.0	1600.0	267.6	0.0	1600.0	1600.0	1600.0	1600.0
152.623	152.883	461.1	1600.0	0.0	375.4	1600.0	1600.0	636.2	1600.0
152.902	153.002	391.5	1600.0	0.0	325.2	1600.0	1600.0	694.7	1600.0
153.04	153.18	387.5	1600.0	0.0	316.7	1600.0	1600.0	694.3	1600.0
153.202	153.402	501.8	1600.0	0.0	405.8	1600.0	1600.0	1600.0	1600.0
153.422	153.682	609.1	1600.0	0.0	505.8	1600.0	1600.0	1600.0	1600.0
154.018	154.558	413.8	1600.0	0.0	277.4	1600.0	1600.0	191.9	1600.0
154.741	154.831	561.1	1600.0	541.1	61.6	1600.0	1600.0	1600.0	288.9
154.999	155.379	532.2	1600.0	454.8	0.0	1600.0	1600.0	198.3	1600.0
155.398	155.498	503.5	1600.0	451.2	0.0	1600.0	1600.0	1600.0	199.7
155.556	155.796	416.9	977.6	305.0	0.0	1600.0	1600.0	860.0	1600.0
155.818	156.118	409.3	1600.0	321.4	0.0	1600.0	1600.0	879.2	1600.0
156.271	156.541	236.6	1600.0	266.1	0.0	1600.0	1600.0	1600.0	1600.0
156.559	156.799	59.7	782.8	382.5	75.3	1600.0	1600.0	1600.0	1600.0
